"Response ID","Date submitted","Last page","Start language","Seed","Rust is important to my work or projects (1 disagree - 5 agree)","Rust will become more important in my work or projects in the future.  (1 disagree - 5 agree)","Rust will become more important to other developers and projects in the future (1 disagree - 5 agree)","I develop software using Rust","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [MacOS]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Windows]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Linux (Fedora, OpenSUSE, Ubuntu, Arch, etc)]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Other Platform]","On your primary development platform, how did you install your Rust toolchain?","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Integrated Development Environments with Language Features (syntax highlight, errors, completion, type checking)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Debugging tools (lldb, gdb)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Online Documentation (doc.rust-lang.org, docs.rs)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Offline Documentation (local) ]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Build Caching (sccache)]","Do you run, provide, distribute or deploy Rust software?","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Linux]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [MacOS]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Windows]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Rust Library - No specific target (crates.io)]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Other]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Local use only (cargo build / cargo run)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Containers, using rustup inside the builder]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Containers, using a packaged rust (dnf, zypper, apt, pacman, etc)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Packaged for a package manager (rpm, deb, brew, msi, pkg, dmg, etc)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Provided as a library (source, crates.io)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Other Process]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Unknown]","In your release process, how do you manage your Rust dependencies?","In your ideal workflow, how would you prefer to manager your Rust dependencies? ","How do you manage security updates in your Rust dependencies? [Security scanners (e.g. cargo audit)]","How do you manage security updates in your Rust dependencies? [Frequent update of all dependencies (e.g. cargo outdated)]","How do you manage security updates in your Rust dependencies? [Don't actively follow security issues in dependencies]","How do you manage security updates in your Rust dependencies? [Rely on external source to manage (ie distribution packaged rust libraries)]","How do you manage security updates in your Rust dependencies? [Unknown]"
"3294","1980-01-01 00:00:00","3","en","1594733078","1","3","3","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3297","1980-01-01 00:00:00","3","en","2114963053","3","4","4","Yes","Yes","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","5","5","4","3","2","Yes","Yes","No","No","No","No","No","Yes","No","Yes","Yes","No","No","Online download from crates.io","Unsure","Yes","No","No","No","No"
"3300","","","en","173275392","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3303","1980-01-01 00:00:00","3","en","986831875","2","5","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3306","1980-01-01 00:00:00","3","en","1533035249","3","2","2","Yes","No","No","Yes","No","rustup","5","2","5","2","5","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","Online download from crates.io","Package Manager provided libraries","Yes","Yes","No","No","No"
"3309","","","en","446147484","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3312","","","en","381705762","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3315","1980-01-01 00:00:00","3","en","55965367","1","1","4","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3318","","0","en","2008715376","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3321","1980-01-01 00:00:00","3","en","1710493413","1","4","3","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3324","1980-01-01 00:00:00","3","en","900195977","1","5","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3327","1980-01-01 00:00:00","3","en","1586373317","3","4","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3330","","","en","1356031621","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3333","","","en","295453598","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3336","1980-01-01 00:00:00","3","en","1234379572","1","1","3","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3339","1980-01-01 00:00:00","3","en","665281363","4","5","3","Yes","Yes","Yes","Yes","No","rustup","5","4","5","2","4","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"3342","1980-01-01 00:00:00","3","en","1584174019","4","5","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3345","","","en","1452985796","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3348","1980-01-01 00:00:00","3","en","316703047","2","2","4","Yes","No","No","Yes","No","rustup","5","4","4","4","2","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3351","","","en","1041648518","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3354","","2","en","1067367317","1","3","3","No","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3357","","","en","2073974423","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3360","","","en","691183091","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3363","1980-01-01 00:00:00","3","en","981395842","1","2","4","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3366","","","en","345299408","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3369","","","en","1416091423","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3372","1980-01-01 00:00:00","3","en","46054694","4","5","4","Yes","No","Yes","Yes","No","rustup","5","3","5","4","2","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"3375","1980-01-01 00:00:00","3","en","1913016722","4","5","5","Yes","No","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","4","1","5","3","4","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","No","Online download from crates.io","Package Manager provided libraries","Yes","Yes","No","No","No"
"3378","","","en","496410825","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3381","1980-01-01 00:00:00","3","en","637663352","3","5","4","Yes","Yes","No","No","No","rustup","5","4","5","1","3","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","No","No","","","Yes","Yes","No","No","No"
"3384","1980-01-01 00:00:00","3","en","233166058","3","5","4","Yes","No","Yes","Yes","No","rustup","5","5","5","3","2","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","Online download from crates.io","Online download from crates.io","No","No","Yes","Yes","No"
"3387","","1","en","51531571","2","3","4","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3390","","","en","136211654","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3393","","","en","1664625486","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3396","1980-01-01 00:00:00","3","en","2083539440","1","3","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3399","","","en","1675203263","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3402","","","en","1913256375","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3405","1980-01-01 00:00:00","3","en","1771707660","2","5","5","Yes","No","Yes","Yes","No","rustup","5","3","5","1","3","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"3408","1980-01-01 00:00:00","3","en","2102328669","5","5","5","Yes","No","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","5","","5","2","1","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","No","No","","","No","No","Yes","No","No"
"3411","1980-01-01 00:00:00","3","en","36330141","5","5","5","Yes","Yes","Yes","Yes","Yes","rustup","5","5","5","5","5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Online download from crates.io","Online download from crates.io","Yes","Yes","No","No","No"
"3414","1980-01-01 00:00:00","3","en","1876121163","4","4","3","Yes","No","No","Yes","No","rustup","2","3","4","2","1","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3417","","2","en","1081991345","3","3","5","No","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3420","","","en","1105167029","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3423","1980-01-01 00:00:00","3","en","597099961","2","4","4","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3426","1980-01-01 00:00:00","3","en","1998668767","1","1","4","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3429","","0","en","2042026866","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3432","1980-01-01 00:00:00","3","en","1889103704","4","5","4","Yes","No","Yes","Yes","No","rustup","3","4","5","4","","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","No","No","","","Yes","Yes","No","No","No"
"3435","","","en","7437551","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3438","","","en","1335444917","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3441","1980-01-01 00:00:00","3","en","361765557","1","3","3","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3444","","","en","1772607726","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3447","1980-01-01 00:00:00","3","en","1905980820","5","5","4","Yes","No","No","Yes","No","rustup","5","1","5","3","4","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No","Online download from crates.io","Online download from crates.io","Yes","Yes","No","No","No"
"3450","","0","en","1792712617","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3453","1980-01-01 00:00:00","3","en","2101903065","1","2","4","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3456","1980-01-01 00:00:00","3","en","1328618199","1","1","1","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3459","","","en","1508551250","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3462","","","en","658964557","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3465","","","en","987220","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3468","1980-01-01 00:00:00","3","en","227356892","3","1","1","Yes","No","Yes","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","1","1","1","1","1","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"3471","","","en","376505756","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3474","","","en","830664691","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3477","","","en","222159539","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3480","1980-01-01 00:00:00","3","en","1277577295","1","2","2","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3483","","","en","774141988","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3486","1980-01-01 00:00:00","3","en","458462961","4","4","5","Yes","No","No","Yes","No","rustup","5","1","5","2","2","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"3489","1980-01-01 00:00:00","3","en","1661577692","1","1","1","Yes","No","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","2","1","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3492","1980-01-01 00:00:00","3","en","956650969","5","5","5","Yes","Yes","No","Yes","No","Other manual method","1","4","1","2","5","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","No","Online download from crates.io","Satisfied with my existing process","Yes","No","No","No","No"
"3495","","","en","1123127785","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3501","1980-01-01 00:00:00","3","en","1603973338","5","5","5","Yes","Yes","No","Yes","No","rustup","5","3","4","2","3","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No","Online download from crates.io","Vendoring (bundled)","Yes","Yes","No","No","No"
"3504","1980-01-01 00:00:00","3","en","1280257419","5","5","5","Yes","No","Yes","Yes","No","rustup","4","1","5","2","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3507","","","en","426862027","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3510","","","en","525290293","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3513","","","en","1138967047","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3516","1980-01-01 00:00:00","3","en","1844049144","5","4","5","Yes","No","No","Yes","No","rustup","1","1","3","5","1","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Online download from crates.io","Online download from crates.io","No","Yes","No","No","No"
"3519","","","en","1442181757","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3522","1980-01-01 00:00:00","3","en","1148667473","4","3","3","Yes","No","Yes","No","No","rustup","5","4","5","1","","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"3525","1980-01-01 00:00:00","3","en","15593653","5","5","4","Yes","No","Yes","Yes","No","rustup","4","2","5","1","1","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","No","No","","","No","Yes","No","No","No"
"3528","1980-01-01 00:00:00","3","en","2044525308","5","5","4","Yes","No","No","No","Yes","rustup","5","2","5","4","1","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"3531","1980-01-01 00:00:00","3","en","1880521519","1","4","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3534","1980-01-01 00:00:00","3","en","688576070","4","5","5","Yes","Yes","No","Yes","No","rustup","5","2","4","2","1","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"3537","","","en","2119178749","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3540","1980-01-01 00:00:00","3","en","1665914792","2","4","3","Yes","No","No","Yes","Yes","rustup","5","3","5","4","1","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","Vendoring (bundled)","Vendoring (bundled)","No","No","Yes","No","No"
"3543","","","en","2025267826","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3546","","","en","1222495137","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3549","1980-01-01 00:00:00","3","en","400948064","5","5","5","Yes","Yes","Yes","Yes","No","rustup","5","2","5","1","4","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","Online download from crates.io","Vendoring (bundled)","Yes","Yes","No","No","No"
"3552","1980-01-01 00:00:00","3","en","146731294","3","4","5","Yes","No","Yes","Yes","No","rustup","5","4","5","3","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3555","1980-01-01 00:00:00","3","en","755840858","2","5","5","Yes","No","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","4","3","5","2","3","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","Package Manager provided libraries","Package Manager provided libraries","Yes","No","No","Yes","No"
"3558","1980-01-01 00:00:00","3","en","439990823","5","5","5","Yes","Yes","Yes","Yes","Yes","rustup","4","5","5","3","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Online download from crates.io","Online download from crates.io","Yes","Yes","No","No","No"
"3561","","","en","2131960264","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3564","1980-01-01 00:00:00","3","en","1542404437","1","4","4","Yes","Yes","No","No","No","Package Manager (dnf, apt, brew, zypper, etc)","5","2","5","1","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3567","1980-01-01 00:00:00","3","en","533938249","4","4","4","Yes","Yes","No","Yes","No","rustup","5","5","5","3","5","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3570","","","en","2124847952","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3573","","0","en","911413927","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3576","","","en","1507118493","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3579","1980-01-01 00:00:00","3","en","612303009","1","1","3","Yes","No","No","Yes","No","Other manual method","5","2","4","4","1","Yes","Yes","No","No","Yes","No","Yes","No","No","No","No","Yes","No","Unsure","Vendoring (bundled)","Yes","No","No","No","No"
"3582","","","en","987677299","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3585","","","en","1935863204","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3588","1980-01-01 00:00:00","3","en","1886276330","5","5","5","Yes","No","No","Yes","No","rustup","5","5","5","1","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3591","1980-01-01 00:00:00","3","en","1534091694","1","3","5","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3594","1980-01-01 00:00:00","3","en","1333608608","4","5","5","Yes","No","No","Yes","No","rustup","","","5","5","","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No","","","N/A","N/A","N/A","N/A","N/A"
"3597","1980-01-01 00:00:00","3","en","1542374124","1","5","5","Yes","No","No","Yes","No","rustup","5","5","5","1","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3600","1980-01-01 00:00:00","3","en","2127150611","5","5","5","Yes","No","Yes","Yes","No","rustup","5","5","5","1","3","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"3603","","","en","1358527773","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
